Provinsi,Y,X1,X2,X3,X4
ACEH,72.8,9.37,9572,69.96,193.32
SUMATERA UTARA,72.71,9.58,10499,69.23,739.86
SUMATERA BARAT,73.26,9.07,10790,69.59,137.61
RIAU,73.52,9.19,10736,71.67,181.82
JAMBI,72.14,8.6,10588,71.22,127.34
SUMATERA SELATAN,70.9,8.3,10662,69.98,371.5
BENGKULU,72.16,8.87,10487,69.42,100.69
LAMPUNG,70.45,8.08,10038,70.73,234.78
KEP. BANGKA BELITUNG,72.24,8.08,12819,70.73,26.48
KEP. RIAU,76.46,10.18,14122,70.12,122.6
DKI JAKARTA,81.65,11.17,18520,73.01,502.04
JAWA BARAT,73.12,8.61,10934,73.23,3010.36
JAWA TENGAH,72.79,7.75,11034,74.47,1818.25
DI YOGYAKARTA,80.64,9.64,14111,75.04,315.46
JAWA TIMUR,72.75,7.88,11707,71.38,1721.46
BANTEN,73.32,8.93,12033,70.02,566.49
BALI,76.44,9.06,13820,72.24,136.06
NUSA TENGGARA BARAT,69.46,7.38,10377,66.69,381.84
NUSA TENGGARA TIMUR,65.9,7.69,7554,67.15,126.8
KALIMANTAN BARAT,68.63,7.45,8974,70.76,85.04
KALIMANTAN TENGAH,71.63,8.64,11182,69.79,59.84
KALIMANTAN SELATAN,71.84,8.34,12143,68.83,77.77
KALIMANTAN TIMUR,77.44,9.84,12116,74.61,123.59
KALIMANTAN UTARA,71.83,9.11,9075,72.65,26.55
SULAWESI UTARA,73.81,9.62,10882,71.76,70.42
SULAWESI TENGAH,70.28,8.89,9378,68.83,90.26
SULAWESI SELATAN,72.82,8.46,11184,70.66,208.53
SULAWESI TENGGARA,72.23,9.13,9381,71.27,69.94
GORONTALO,69.81,7.9,10157,68.19,21.01
SULAWESI BARAT,66.92,7.96,9153,65.25,27.99
MALUKU,70.22,10.03,8770,66.09,45.12
MALUKU UTARA,69.47,9.09,8140,68.45,19.09
PAPUA BARAT,65.89,7.69,7929,66.14,29.47
PAPUA,61.39,6.76,6955,65.93,50.67
