"","Provinsi","Y","X1","X2","X3","X4"
"1","ACEH",72.8,0.704571311138358,-0.536370610506245,-0.0754998200837945,-0.245425168313958
"2","SUMATERA UTARA",72.71,0.930769115163893,-0.117652403196198,-0.366027809925598,0.623725027061943
"3","SUMATERA BARAT",73.26,0.381431591101881,0.013789881946438,-0.222753732743337,-0.334019520757314
"4","RIAU",73.52,0.510687479116471,-0.0106014699357006,0.60505204653195,-0.263713358102122
"5","JAMBI",72.14,-0.124820636955268,-0.0774518417608213,0.425959450054122,-0.35035166937683
"6","SUMATERA SELATAN",70.9,-0.447960356991745,-0.0440266558482609,-0.0675401491292204,0.0379304539864736
"7","BENGKULU",72.16,0.166005111077561,-0.123072703614451,-0.290410935857183,-0.392732561364183
"8","LAMPUNG",70.45,-0.684929485018496,-0.325882277597419,0.230947511667157,-0.179492268434197
"9","KEP. BANGKA BELITUNG",72.24,-0.684929485018496,0.930272344332721,0.230947511667157,-0.510747045205888
"10","KEP. RIAU",76.46,1.57704855523685,1.5188266314147,-0.0118224524472296,-0.357889584124299
"11","DKI JAKARTA",81.65,2.64340963135722,3.50536673470443,1.13835000048815,0.245525262242722
"12","JAWA BARAT",73.12,-0.114049312954052,0.0788334869654744,1.22590638098842,4.23444980219457
"13","JAWA TENGAH",72.79,-1.04038317705862,0.124002657117583,1.71940598017176,2.33866424320608
"14","DI YOGYAKARTA",80.64,0.995397059171189,1.51385802269796,1.94625660237701,-0.0511886899899335
"15","JAWA TIMUR",72.75,-0.900355965042814,0.427991172241274,0.489636817690681,2.18474129628466
"16","BANTEN",73.32,0.230633055084857,0.575242666937148,-0.0516208072200834,0.348018638925082
"17","BALI",76.44,0.370660267100665,1.38241573755533,0.831902668737194,-0.336484450685284
"18","NUSA TENGGARA BARAT",69.46,-1.43892216510361,-0.17275879078177,-1.376906021156,0.0543739220220919
"19","NUSA TENGGARA TIMUR",65.9,-1.10501112106592,-1.4478844641758,-1.19383358920088,-0.351210419158187
"20","KALIMANTAN BARAT",68.63,-1.3635228970951,-0.806482248015854,0.242887018099013,-0.417620402249814
"21","KALIMANTAN TENGAH",71.63,-0.0817353409504035,0.190853028942704,-0.143157023197635,-0.457695392046485
"22","KALIMANTAN SELATAN",71.84,-0.404875060986882,0.624928754104467,-0.525221229017002,-0.429181718750679
"23","KALIMANTAN TIMUR",77.44,1.21082353919551,0.612733078163398,1.77512367685375,-0.356315209525144
"24","KALIMANTAN UTARA",71.83,0.424516887106744,-0.760861386162224,0.995075923305885,-0.510635725789786
"25","SULAWESI UTARA",73.81,0.973854411168756,0.0553455184863779,0.640870565827516,-0.440870257441375
"26","SULAWESI TENGAH",70.28,0.187547759079995,-0.623998800601335,-0.525221229017002,-0.409319154363361
"27","SULAWESI SELATAN",72.82,-0.27561917297229,0.191756412345746,0.203088663326159,-0.221237049472396
"28","SULAWESI TENGGARA",72.23,0.446059535109177,-0.622643725496772,0.445858627440546,-0.441633590580359
"29","GORONTALO",69.81,-0.878813317040382,-0.272130965116409,-0.779930699563244,-0.519445862435562
"30","SULAWESI BARAT",66.92,-0.814185373033087,-0.72562943344358,-1.95000232988504,-0.508345726372834
"31","MALUKU",70.22,1.41547869521861,-0.898627355126155,-1.6156961497931,-0.481104274975335
"32","MALUKU UTARA",69.47,0.402974239104312,-1.18319312708444,-0.676454977153831,-0.522499194991499
"33","PAPUA BARAT",65.89,-1.10501112106592,-1.27850007610539,-1.59579697240668,-0.505992115860966
"34","PAPUA",61.39,-2.106744253179,-1.71844779338693,-1.67937351742966,-0.47227823555583
